[34,12]
Metier:G_HKE_Zhigh @ 15-Inf,G_HKE_Zlow @ 15-Inf,G_LOW_Zhigh @ 15-Inf,G_LOW_Zlow @ 15-Inf,G_MIX_Zunique @ 15-Inf,G_MNZ_Zhigh @ 15-Inf,G_MNZ_Zlow @ 15-Inf,G_SOL_Zhigh @ 15-Inf,G_SOL_Zlow @ 15-Inf,G_metier_OTH-Zunique @ 15-Inf,L_HKE_Zhigh @ 15-Inf,L_HKE_Zlow @ 15-Inf,L_metier_OTH-Zunique @ 15-Inf,M_HKE_Zhigh @ 15-Inf,M_HKE_Zlow @ 15-Inf,M_LOW_Zhigh @ 15-Inf,M_LOW_Zlow @ 15-Inf,M_NEP_Zhigh @ 15-Inf,M_NEP_Zlow @ 15-Inf,M_metier_OTH-Zunique @ 15-Inf,O_HKE_Zhigh @ 15-Inf,O_HKE_Zlow @ 15-Inf,O_IN_CET_Zhigh @ 15-Inf,O_IN_CET_Zlow @ 15-Inf,O_LOW_Zhigh @ 15-Inf,O_LOW_Zlow @ 15-Inf,O_MIX_Zunique @ 15-Inf,O_NEP_Zhigh @ 15-Inf,O_NEP_Zlow @ 15-Inf,O_NS_CEP_Zhigh @ 15-Inf,O_NS_CEP_Zlow @ 15-Inf,O_NS_DEF_Zhigh @ 15-Inf,O_NS_DEF_Zlow @ 15-Inf,O_metier_OTH-Zunique @ 15-Inf
fr.ifremer.isisfish.types.Month:0,1,2,3,4,5,6,7,8,9,10,11
0;0;0
0;1;0
0;2;0
0;3;0
0;4;0
0;5;0
0;6;0
0;7;0
0;8;0
0;9;0
0;10;0
0;11;0
1;0;0
1;1;0
1;2;0
1;3;0
1;4;0
1;5;0
1;6;0
1;7;0
1;8;0
1;9;0
1;10;0
1;11;0
2;0;0
2;1;0
2;2;0
2;3;0
2;4;0
2;5;0
2;6;0
2;7;0
2;8;0
2;9;0
2;10;0
2;11;0
3;0;0
3;1;0
3;2;0
3;3;0
3;4;0
3;5;0
3;6;0
3;7;0
3;8;0
3;9;0
3;10;0
3;11;0
4;0;0
4;1;0
4;2;0
4;3;0
4;4;0
4;5;0
4;6;0
4;7;0
4;8;0
4;9;0
4;10;0
4;11;0
5;0;0
5;1;0
5;2;0
5;3;0
5;4;0
5;5;0
5;6;0
5;7;0
5;8;0
5;9;0
5;10;0
5;11;0
6;0;0
6;1;0
6;2;0
6;3;0
6;4;0
6;5;0
6;6;0
6;7;0
6;8;0
6;9;0
6;10;0
6;11;0
7;0;0
7;1;0
7;2;0
7;3;0
7;4;0
7;5;0
7;6;0
7;7;0
7;8;0
7;9;0
7;10;0
7;11;0
8;0;0
8;1;0
8;2;0
8;3;0
8;4;0
8;5;0
8;6;0
8;7;0
8;8;0
8;9;0
8;10;0
8;11;0
9;0;0
9;1;0
9;2;0
9;3;0
9;4;0
9;5;0
9;6;0
9;7;0
9;8;0
9;9;0
9;10;0
9;11;0
10;0;0
10;1;0
10;2;0
10;3;0
10;4;0
10;5;0
10;6;0
10;7;0
10;8;0
10;9;0
10;10;0
10;11;0
11;0;0
11;1;0
11;2;0
11;3;0
11;4;0
11;5;0
11;6;0
11;7;0
11;8;0
11;9;0
11;10;0
11;11;0
12;0;0
12;1;0
12;2;0
12;3;0
12;4;0
12;5;0
12;6;0
12;7;0
12;8;0
12;9;0
12;10;0
12;11;0
13;0;0.741
13;1;0.714
13;2;0.723
13;3;0.316
13;4;0.402
13;5;0.286
13;6;0.287
13;7;0.04
13;8;0.008
13;9;0.04
13;10;0.229
13;11;0.226
14;0;0.144
14;1;0.139
14;2;0.141
14;3;0.061
14;4;0.078
14;5;0.055
14;6;0.056
14;7;0.008
14;8;0.001
14;9;0.008
14;10;0.045
14;11;0.044
15;1;0.008
15;2;0.029
15;3;0.022
15;4;0.021
15;5;0.009
15;7;0.011
15;8;0.025
15;9;0.004
15;10;0.021
15;11;0.032
15;0;0
15;6;0
16;1;0.002
16;2;0.006
16;3;0.005
16;4;0.004
16;5;0.002
16;7;0.002
16;8;0.005
16;9;0.001
16;10;0.004
16;11;0.007
16;0;0
16;6;0
17;4;0.008
17;5;0.034
17;6;0.212
17;7;0.353
17;8;0.142
17;9;0.056
17;0;0
17;1;0
17;2;0
17;3;0
17;10;0
17;11;0
18;4;0.003
18;5;0.011
18;6;0.07
18;7;0.116
18;8;0.046
18;9;0.018
18;0;0
18;1;0
18;2;0
18;3;0
18;10;0
18;11;0
19;0;0
19;1;0
19;2;0
19;3;0
19;4;0
19;5;0
19;6;0
19;7;0
19;8;0
19;9;0
19;10;0
19;11;0
20;3;0.013
20;10;0.006
20;11;0.005
20;0;0
20;1;0
20;2;0
20;4;0
20;5;0
20;6;0
20;7;0
20;8;0
20;9;0
21;3;0.009
21;10;0.004
21;11;0.004
21;0;0
21;1;0
21;2;0
21;4;0
21;5;0
21;6;0
21;7;0
21;8;0
21;9;0
22;10;0.012
22;11;0.016
22;0;0
22;1;0
22;2;0
22;3;0
22;4;0
22;5;0
22;6;0
22;7;0
22;8;0
22;9;0
23;10;0.002
23;11;0.003
23;0;0
23;1;0
23;2;0
23;3;0
23;4;0
23;5;0
23;6;0
23;7;0
23;8;0
23;9;0
24;3;0.02
24;4;0.028
24;9;0.013
24;10;0.022
24;0;0
24;1;0
24;2;0
24;5;0
24;6;0
24;7;0
24;8;0
24;11;0
25;3;0.007
25;4;0.01
25;9;0.005
25;10;0.007
25;0;0
25;1;0
25;2;0
25;5;0
25;6;0
25;7;0
25;8;0
25;11;0
26;10;0.116
26;11;0.106
26;0;0
26;1;0
26;2;0
26;3;0
26;4;0
26;5;0
26;6;0
26;7;0
26;8;0
26;9;0
27;3;0.262
27;4;0.321
27;0;0
27;1;0
27;2;0
27;5;0
27;6;0
27;7;0
27;8;0
27;9;0
27;10;0
27;11;0
28;3;0.028
28;4;0.034
28;0;0
28;1;0
28;2;0
28;5;0
28;6;0
28;7;0
28;8;0
28;9;0
28;10;0
28;11;0
29;9;0.091
29;10;0.213
29;11;0.228
29;0;0
29;1;0
29;2;0
29;3;0
29;4;0
29;5;0
29;6;0
29;7;0
29;8;0
30;9;0.044
30;10;0.102
30;11;0.109
30;0;0
30;1;0
30;2;0
30;3;0
30;4;0
30;5;0
30;6;0
30;7;0
30;8;0
31;1;0.004
31;2;0.004
31;3;0.094
31;4;0.051
31;9;0.015
31;10;0.101
31;11;0.097
31;0;0
31;5;0
31;6;0
31;7;0
31;8;0
32;1;0.001
32;2;0.001
32;3;0.028
32;4;0.016
32;9;0.005
32;10;0.031
32;11;0.03
32;0;0
32;5;0
32;6;0
32;7;0
32;8;0
33;0;0
33;1;0
33;2;0
33;3;0
33;4;0
33;5;0
33;6;0
33;7;0
33;8;0
33;9;0
33;10;0
33;11;0
